name,center_j1,center_i1,angle1,center_3d1,center_j2,center_i2,angle2,center_3d2,center_j3,center_i3,angle3,center_3d3,center_j4,center_i4,angle4,center_3d4,center_j5,center_i5,angle5,center_3d5
asymmetrical2e4,185,241,-18.5703125,"0.04851901282866796,1.0000003836958147,0.018661173957053613",183,153,23.1285591125488,"0.0010797011852264405,1.0260001796132976,0.011909222597587536",118,154,14.0081825256348,"0.0014403818051020305,1.0260001708765216,-0.011490563322155787",,,,"0,0,1",,,,"0,0,1"
asymmetrical2e5,185,241,-18.5703125,"0.048518990228573484,1.0000004209595543,0.018661165311282386",183,153,23.1285591125488,"0.0010797011852264405,1.0260001796132976,0.011909222597587536",118,154,14.0081825256348,"0.0014403818051020305,1.0260001708765216,-0.011490563322155787",,,,,,,,
asymmetrical2e6,185,241,-18.5703125,"0.04851901282866796,1.0000003836958147,0.018661173957053613",183,153,23.1285591125488,"0.0010797030478715897,1.026000086455501,0.011909242970253133",118,154,14.0081825256348,"0.0014403804143269857,1.0260002230166376,-0.011490552130771556",,,,,,,,
asymmetrical2e9,185,241,-18.5703125,"0.04851901282866796,1.0000003836958147,0.018661173957053613",183,153,23.1285591125488,"0.0010796964913606644,1.0260004143709451,0.01190917125847023",118,154,14.0081825256348,"0.0014403754472732545,1.0260004092313377,-0.011490512161542161",,,,,,,,
banana2e4,105,171,8.09997653961182,"0.012025724798440935,1.1141149083487347,-0.025712356226676027",151,151,3.22519564628601,"0.0006099796295166016,1.108502809173824,0.0006642310866398471",208,140,-1.01498031616211,"-0.006266051530838012,1.105991114383878,0.03639609916251784",,,,,,,,
banana2e5,105,171,8.09997653961182,"0.012026696950197221,1.1141079654500368,-0.025714442880731696",151,151,3.22519564628601,"0.0006100082894166311,1.1084985101750022,0.0006642575970448567",208,140,-1.01498031616211,"-0.006264690558115641,1.1060115329190994,0.03638821572896023",,,,,,,,
banana2e6,105,171,8.09997653961182,"0.012025738358497622,1.114114811505727,-0.025712385332365646",151,151,3.22519564628601,"0.0006099910040696463,1.1085011029853835,0.0006642416081004142",208,140,-1.01498031616211,"-0.006265557805697123,1.105998521691911,0.03639323925997905",,,,,,,,
banana2e9,105,171,8.09997653961182,"0.012029126286506655,1.1140906156527544,-0.025719657276971675",151,151,3.22519564628601,"0.0006100748479366303,1.1084885263649134,0.000664319163670009",208,140,-1.01498031616211,"-0.006265121201674144,1.106005072017626,0.03639071023147645",,,,,,,,
cheese2e4,118,74,21.4110641479492,"-0.005826344613394411,1.1085028094229783,-0.002362779444158429",83,135,-35.3746490478516,"-0.001150400794345219,1.1085004035652457,-0.00504804134287801",67,26,-0.827716112136841,"-0.011574000258127715,1.1060057798145964,-0.007658777113672185",,,,,,,,
cheese2e5,118,74,21.4110641479492,"-0.005826849986336545,1.1085018121541812,-0.002362993063881931",83,135,-35.3746490478516,"-0.00115040526469411,1.1085003588784177,-0.005048061347680948",67,26,-0.827716112136841,"-0.011575883417433345,1.1060035028508113,-0.007660039513284646",,,,,,,,
cheese2e6,118,74,21.4110641479492,"-0.005830692896925473,1.1084942288142352,-0.0023646174513965892",83,135,-35.3746490478516,"-0.0011509967477317583,1.108494446252492,-0.005050708233169581",67,26,-0.827716112136841,"-0.011586930618118751,1.1059901454700456,-0.007667445143717684",,,,,,,,
cheese2e9,118,74,21.4110641479492,"-0.005828792203918081,1.1084979795133145,-0.0023638140337997027",83,135,-35.3746490478516,"-0.0011508605883551182,1.1084958073387938,-0.005050098920213451",67,26,-0.827716112136841,"-0.011581322714446545,1.10599692609319,-0.007663685814700035",,,,,,,,
lemon2e4,45,171,-37.4075965881348,"0.01402658522129059,0.9998803100587829,-0.07013308248165678",107,96,-0.841633081436157,"-0.017050157636404037,1.0526520744041317,-0.01352433240926144",40,76,-19.3133792877197,"-0.04942866126696269,0.9998803143090034,-0.07347519513787715",,,,,,,,
