name,center_j1,center_i1,angle1,center_3d1,center_j2,center_i2,angle2,center_3d2,center_j3,center_i3,angle3,center_3d3,center_j4,center_i4,angle4,center_3d4,center_j5,center_i5,angle5,center_3d5
A02e4,121,111,35.8026962280273,"-0.012472705766558647,1.032039728035638,-0.009234533750894607",93,134,-66.4715881347656,"-0.005168438752492269,1.031568982829198,-0.018373116352420036",194,171,-41.8870811462402,"0.0066024202853441245,1.0328226425323614,0.013874681678018839",165,135,11.6735973358154,"-0.004612148553133011,1.0338728279436804,0.004654493196379531",62,151,30.0235710144043,"0.00035842130581537887,1.0262763149933603,-0.03150825438006441"
A02e5,121,111,36.6354217529297,"-0.01247315712273121,1.032037992471233,-0.009234871544433889",166,135,16.8697700500488,"-0.004611743614077568,1.033876493525812,0.004961542655410683",194,172,-40.8110542297363,"0.00692786951859792,1.0327472858749742,0.013896684034223138",119,145,-38.6181755065918,"-0.0012877734998861948,1.0413768480854866,-0.007932480957385066",123,186,39.5599784851074,"0.011397700309753418,1.032520347086351,-0.008507631554840656"
A02e6,136,115,8.2972412109375,"-0.010914502665400505,1.033229096410076,-0.004324268158249511",194,174,-37.6478042602539,"0.007583180665969849,1.0325878223781342,0.013943243592206521",174,147,47.9596900939941,"-0.0009226733446121215,1.0338571847106797,0.007423714027266619",115,149,-34.0805969238281,"-0.0002595869451761246,1.0410733882242613,-0.00903420853133401",190,123,9.81903266906738,"-0.008503793478012084,1.032741034677421,0.012639148752578582"
A02e9,200,170,-33.5367279052734,"0.006337932745615641,1.0324457781422611,0.015885401543290777",139,115,4.39502716064453,"-0.010840110977490743,1.033546719047931,-0.0033649613302360387",194,138,29.3521900177002,"-0.003712816536426544,1.033572855118219,0.013655637400906553",139,179,-3.11464667320251,"0.008925272350509961,1.0338391086785015,-0.0033431519379643047",26,197,19.7343559265137,"0.03541189769903819,0.9671002194664036,-0.09346833264557676"
A12e4,147,192,12.177191734314,"0.014428030699491503,1.0284726899885834,-0.0009949835912829216",124,96,-10.1789865493774,"-0.01694269627332687,1.032947231158552,-0.008116416911987267",105,152,-68.3313674926758,"0.0006758000453313193,1.0293340856403643,-0.015168845410567098",190,110,12.7985181808472,"-0.012493861714998881,1.0331324804814106,0.012535287132354217",46,37,37.337028503418,"-0.08511955380439758,0.9671074973403466,-0.07838129762579614"
A12e5,126,95,18.3430805206299,"-0.017282815277576444,1.032874555658973,-0.007500504890277649",98,140,-83.3853607177734,"-0.0032183686892191567,1.0317454693525894,-0.016695848551670486",149,189,12.1124992370605,"0.01401771828532219,1.0260862328792537,-0.00032682118499687625",191,110,12.21240234375,"-0.01247276266415914,1.0332112384612138,0.012826105824520678",94,174,47.2125663757324,"0.007483594417572022,1.0332494411690867,-0.017420172283649026"
A12e6,126,95,22.0307064056396,"-0.017284252246220905,1.0328706374404155,-0.007501136829405063",174,102,8.81986331939697,"-0.015336525440216065,1.032063852735437,0.007708348552698586",132,167,-51.7515258789063,"0.007893567234277725,1.0103614215828414,-0.008344949532829835",186,167,-54.1663780212402,"0.005945274134476979,1.027526044907157,0.012624409737242102",128,130,-42.4037742614746,"-0.004416246215502421,1.046884294294376,-0.004799269328769678"
A12e9,129,92,10.2706804275513,"-0.0179672971367836,1.0335410628934274,-0.006463479506883403",194,147,-13.5748043060303,"-0.0010016824305057526,1.02989759604472,0.014728725858939593",169,130,41.9896049499512,"-0.009127362569173177,1.0115340379611062,0.008685418808774168",128,131,-42.7532958984375,"-0.004309861461321513,1.0459810851661817,-0.004932893509445564",168,167,-39.6811370849609,"0.007851247638463973,1.0107139907939282,0.008326484762608019"
A22e4,189,193,-43.8894920349121,"0.01464031790693601,1.028912608055775,0.013314579066766122",124,194,3.69812083244324,"0.017215957442919413,1.0213220406978771,-0.010146421239263279",157,115,29.3380889892578,"-0.012619102622071903,1.0259150616694617,0.0025562163204586904",90,185,42.6299209594727,"0.011995113144318262,1.0286181587675065,-0.020527294623058665",96,140,-19.4329967498779,"-0.0039685164888699845,1.0204991291587617,-0.021404382022658576"
A22e5,182,194,-50.6799545288086,"0.01585768222808838,1.025925388425851,0.011565275602578598",130,194,13.5138483047485,"0.016848308742046358,1.022572244145254,-0.007630112898861864",158,116,30.3938961029053,"-0.012234019438425699,1.026022871331596,0.002911123646520685",103,142,54.146800994873,"-0.0029806452989578247,1.024134875949469,-0.01748113634664495",244,54,0.832193791866303,"-0.03680796146392822,1.022442596340648,0.03606921054966783"
A22e6,183,194,-51.5490188598633,"0.015713713268438977,1.026415875786061,0.011818314059343272",148,108,4.56147480010986,"-0.015590237081050874,1.024321595901581,-0.0007119908496111542",181,104,5.50760316848755,"-0.01653979554772377,1.0260520358287961,0.011178957761171065",104,148,25.4789161682129,"-0.0007367697854836783,1.024763533924338,-0.016914764013880666",50,162,0.19365818798542,"0.009041105508804322,0.967080489682705,-0.0753837546155009"
A22e9,185,192,-44.023250579834,"0.014986566305160523,1.0264610223128225,0.012521891349560213",147,103,4.21459722518921,"-0.017991462399562203,1.022581962044938,-0.0011201646855512532",158,130,44.0903244018555,"-0.006909688810507456,1.0281739621520458,0.00279909513336986",137,182,9.97077751159668,"0.011444270610809326,1.0263608775305373,-0.0046162875198395",113,140,12.7470426559448,"-0.003568127006292343,1.0264946818584813,-0.013168961988688757"
A32e4,112,163,-54.3946723937988,"0.004180187409122785,1.0317824223868386,-0.012179290968839797",120,138,-58.870777130127,"-0.0026470640301704406,1.0469200402411507,-0.006559015270808845",181,180,2.73089265823364,"0.009747392684221269,1.0312505268930603,0.010111376843055919",203,188,-38.4212417602539,"0.009666821559270223,1.0418247130099774,0.013534963655620557",127,110,-66.3400039672852,"-0.013095340132713318,1.030901967732383,-0.007491199069740609"
A32e5,104,168,-69.4057540893555,"0.005969917327165604,1.030269840948349,-0.015218630128901301",205,188,-15.5954828262329,"0.009465046127637228,1.042620923439279,0.013752695782995214",180,175,15.9109830856323,"0.008031458904345829,1.0317992796564457,0.00967750735288012",164,96,25.6709327697754,"-0.012511280626058578,1.0452424579735846,0.003300220942577282",95,94,26.6507396697998,"-0.01863285303115845,1.0301135289502048,-0.018262496037195396"
A32e6,106,169,-14.0313673019409,"0.006275542080402375,1.0304744940572736,-0.014494752642518365",69,147,-61.5294151306152,"-0.0022599981725215912,0.9670764966855836,-0.061061153077123426",169,106,43.1663284301758,"-0.014497359196345011,1.030569440500307,0.006298439998633851",153,137,-1.25805413722992,"-0.003996971026062965,1.033880029225595,0.0009647286677367041",171,170,-43.0003089904785,"0.0062434340516726175,1.033166129314897,0.006597068555442018"
A32e9,156,168,21.0439853668213,"0.005542944073677063,1.0338065685361324,0.0018899076661697408",123,139,11.3673210144043,"-0.0026756539195775986,1.043522090756446,-0.006513116756635994",72,153,-63.7415199279785,"0.0022599416971206664,0.9670764936240246,-0.05879968476679073",107,168,9.41879653930664,"0.005895426571369171,1.0308891305971477,-0.014044918733378101",172,109,15.0007610321045,"-0.013455563088258106,1.0307633861639907,0.007258518139730171"
A42e4,140,60,-30.9881114959717,"-0.06776279658079147,0.9670715476122461,-0.007570366094188876",144,149,-76.3843612670898,"-0.0003908029446999232,1.0213825776512118,-0.002318091308772391",147,114,-48.7772750854492,"-0.008562614321708678,1.0443234028244945,-0.0006581475335469942",101,71,-38.9407844543457,"-0.025756976728638012,1.0311143985754179,-0.01593696593278053",79,169,-54.6086692810059,"0.014312759290138881,0.9670715179542952,-0.05352572426515814"
A42e5,142,68,-29.1873302459717,"-0.06173843493064244,0.9670714980340547,-0.006064427294394804",145,152,-59.9793701171875,"0.0007827915251255035,1.021293170242764,-0.0019303639071094423",145,114,-44.3378639221191,"-0.008174983263015747,1.0459390583124517,-0.0010779914461852128",100,72,-35.6215896606445,"-0.02550785943865776,1.0309669440442728,-0.016312496168978605",209,79,-26.0668067932129,"-0.023289665554960568,1.030772370565133,0.019391864737111665"
A42e6,142,69,-28.8394889831543,"-0.06098552718758583,0.9670714980340547,-0.006064427294394804",141,155,-55.5602340698242,"0.0019877322018146517,1.0203725954588754,-0.003552455052118613",209,80,-26.716344833374,"-0.023054870963096618,1.0305724963539562,0.019470193572558858",90,67,-59.9333152770996,"-0.026568927839398383,1.0320079535071147,-0.019166459068725043",146,113,-39.3318176269531,"-0.008362450301647187,1.0460993736966604,-0.000846425209006991"
A42e9,127,84,-21.8660831451416,"-0.049698120057582854,0.9670715063514801,-0.017360216074764297",142,137,-11.1304349899292,"-0.0053937420994043354,1.0177687544036804,-0.0032970175919471126",144,166,-30.8859424591064,"0.006769526799519857,1.016538951557307,-0.0025179008722805048",164,107,-46.8780632019043,"-0.013280776838461558,1.033666382556193,0.004366060214060307",148,217,-28.5058708190918,"0.05044229621688525,0.9670714986750614,-0.001546901976553429"
A52e4,125,176,-17.0498847961426,"0.010024009744326275,1.0221813103507804,-0.009610751878003745",178,138,-27.8520641326904,"-0.00342918336391449,1.0371252823090953,0.008047840727616282",125,120,-35.178882598877,"-0.011766893416643144,1.021177878585013,-0.009779279904633493",141,58,-31.8985862731934,"-0.0715479975938797,0.9633545384672987,-0.007045072949754931",171,164,-38.4853019714355,"0.004096425324678421,1.036102124801039,0.006189770456844362"
A52e5,184,138,-24.4758358001709,"-0.0033916667103767394,1.037592229749485,0.00965672017528032",138,191,-19.453857421875,"0.02020193576812744,1.0060979700243071,-0.0059051438880486674",131,157,35.34521484375,"0.0028789184242486955,1.0183187493722825,-0.007791314883233957",141,60,-26.3017482757568,"-0.06999262869358062,0.9633545012172186,-0.007045075231493445",87,52,5.84619474411011,"-0.07624849845965703,0.9633545189830275,-0.04906273730147649"
A52e6,183,137,-23.7266693115234,"-0.003679615656534831,1.0375312963963825,0.009387484270998165",139,225,-31.8710441589355,"0.058328162878751755,0.9633545010325519,-0.00860061080977906",141,193,-37.199275970459,"0.020655110130707425,1.0079527929339178,-0.004313225005927873",137,62,-6.18854999542236,"-0.06843951423962912,0.9633545083624729,-0.01015619758903575",86,51,4.10391616821289,"-0.077027188539505,0.9633545160343606,-0.04984120025874222"
A52e9,141,245,-33.078197479248,"0.07388110806544622,0.9633545012172186,-0.007045075231493445",176,254,-22.1136379241943,"0.08085678418477377,0.9633545037633326,0.020168405121559246",182,141,-15.8546581268311,"-0.0025545215606689454,1.0374133631467195,0.009129517157837616",53,200,21.7612571716309,"0.038913326958815254,0.9633545171888128,-0.0755377205895501",34,168,13.185863494873,"0.014011016786098479,0.9633545265437984,-0.09033909722404303"
A62e4,192,184,-68.7046356201172,"0.010877832521994908,1.0319928458733134,0.013477324145155156",131,106,-68.2271575927734,"-0.014652499357859294,1.0300562882736517,-0.006289650276758148",125,133,-68.3592987060547,"-0.0037708121041456857,1.046735128819936,-0.005486897407772379",77,171,-62.8093643188477,"0.015816619098186494,0.9670930066392204,-0.05502275770021637",154,184,-0.083289876580238,"0.012045092731714249,1.0268581977638398,0.0014506435769376222"
A62e5,125,134,-71.1562881469727,"-0.0036332205931345622,1.0459457223721305,-0.005619479527848797",196,185,-41.9415245056152,"0.01135457083582878,1.031318980269617,0.01496231069811215",132,107,-70.3224029541016,"-0.014439006025592487,1.029639011557156,-0.006007191098158024",125,182,-56.1568298339844,"0.01121182918548584,1.0274555833689332,-0.00872492899100746",187,75,-1.52803611755371,"-0.01835205778479576,1.043284638699026,0.009107794739018071"
